Timestamp,Calitate aer,Temperatura,Umiditate,Geam Deschis,Locatie,Numar persoane,Ventilatie activa,Tip Incinta,Vreme,Trafic,Data,Timpul
2025-05-01 15:09:44+00:00,67.0,25.7,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:44
2025-05-01 15:09:46+00:00,69.0,25.0,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:46
2025-05-01 15:09:48+00:00,69.0,25.3,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:48
2025-05-01 15:09:51+00:00,69.0,25.0,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:51
2025-05-01 15:09:53+00:00,70.0,25.1,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:53
2025-05-01 15:09:55+00:00,69.0,25.4,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:55
2025-05-01 15:09:57+00:00,68.0,25.5,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:57
2025-05-01 15:09:59+00:00,69.0,25.4,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:59
2025-05-01 15:10:01+00:00,70.0,25.0,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:01
2025-05-01 15:10:03+00:00,70.0,25.6,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:03
2025-05-01 15:10:05+00:00,68.0,25.6,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:05
2025-05-01 15:10:07+00:00,70.0,25.7,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:07
2025-05-01 15:10:09+00:00,69.0,25.5,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:09
2025-05-01 15:10:11+00:00,70.0,25.5,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:11
2025-05-01 15:10:13+00:00,69.0,25.7,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:13
2025-05-01 15:10:15+00:00,68.0,25.8,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:15
2025-05-01 15:10:17+00:00,70.0,25.0,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:17
2025-05-01 15:10:19+00:00,70.0,25.2,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:19
2025-05-01 15:10:21+00:00,70.0,25.9,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:21
2025-05-01 15:10:23+00:00,68.0,25.9,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:23
2025-05-01 15:10:25+00:00,69.0,25.0,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:25
2025-05-01 15:10:27+00:00,71.0,25.3,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:27
2025-05-01 15:10:29+00:00,67.0,25.5,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:29
2025-05-01 15:10:31+00:00,69.0,25.5,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:31
2025-05-01 15:10:33+00:00,69.0,25.5,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:33
